Stand: 27.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;750;(+ 33);556,98;133;98,77;20;-
Altötting;836;(+ 9);749,67;56;50,22;57;-
Amberg Stadt;177;(+ 4);419,36;17;40,28;4;-
Amberg-Sulzbach;613;(+ 4);594,86;36;34,93;54;-
Ansbach;900;-;487,56;104;56,34;28;-
Ansbach Stadt;235;-;562,23;20;47,85;8;-
Aschaffenburg;925;-;531,00;105;60,28;42;-
Aschaffenburg Stadt;264;(+ 1);371,82;35;49,29;2;-
Augsburg;1.293;(+ 86);510,12;292;115,20;13;-
Augsburg Stadt;2.125;(+ 51);716,50;491;165,55;18;-
Bad Kissingen;366;(+ 5);354,53;50;48,43;18;-
Bad Tölz;796;(+ 21);622,28;83;64,89;10;-
Bamberg;684;(+ 21);464,79;86;58,44;38;-
Bamberg Stadt;336;(+ 3);434,26;43;55,57;22;-
Bayreuth;561;(+ 5);541,17;76;73,31;28;-
Bayreuth Stadt;399;(+ 3);533,54;83;110,99;12;-
Berchtesgadener Land: technische Probleme *;1.001;-;944,97;232;219,01;26;-
Cham;773;(+ 42);603,92;126;98,44;21;-
Coburg;526;(+ 4);606,36;60;69,17;31;-
Coburg Stadt;186;(+ 2);452,86;27;65,74;4;-
Dachau;1.579;(+ 32);1.019,37;144;92,96;36;-
Deggendorf;693;(+ 44);580,02;118;98,76;21;(+ 1)
Dillingen a.d. Donau;503;(+ 13);520,91;76;78,71;29;-
Dingolfing-Landau;1.130;(+ 11);1.168,77;75;77,57;11;-
Donau-Ries;731;(+ 18);546,41;139;103,90;26;-
Ebersberg;1.069;(+ 17);744,18;141;98,16;8;-
Eichstätt;586;(+ 4);441,00;82;61,71;20;-
Erding;1.052;(+ 31);761,31;102;73,82;11;-
Erlangen Stadt;543;(+ 8);482,55;67;59,54;12;-
Erlangen-Höchstadt;532;(+ 9);387,58;69;50,27;11;-
Forchheim;423;(+ 13);364,02;71;61,10;4;-
Freising;1.657;(+ 102);920,52;174;96,66;48;-
Freyung-Grafenau;362;(+ 32);461,96;64;81,67;14;-
Fürstenfeldbruck;1.945;(+ 47);886,87;207;94,39;38;-
Fürth;777;(+ 10);659,30;93;78,91;60;-
Fürth Stadt;790;(+ 16);614,80;80;62,26;38;-
Garmisch-Partenkirchen;511;(+ 1);577,90;46;52,02;20;-
Günzburg;639;(+ 49);503,04;111;87,38;4;-
